,T1,T2,T3
1,37,33,32
2,38,29,35
3,39,33,38
4,39,18,25
5,35,26,22
6,27,34,24
7,36,29,32
8,32,26,19
9,30,24,36
10,40,39,34
11,37,21,18
12,35,14,32
13,39,33,38
14,38,37,30
15,37,27,32
16,38,29,28
17,33,24,27
18,38,34,34
19,37,20,21
20,24,22,15
