,F1,F2
1,17,43
2,17,33
3,21,44
4,15,33
5,24,45
6,10,29
7,13,27
8,16,35
9,21,40
10,16,34
11,18,37
12,17,40
13,20,38
14,16,33
15,16,27
16,13,35
17,19,42
18,13,34
19,23,43
20,18,42
