,Q1,Q2,Q3,Q4,Q5,Q6
1,10,6,10,5,4,10
2,10,10,9,6,4,10
3,10,10,7,5,5,9
4,10,10,10,5,5,10
5,10,7,10,4,5,9
6,8,10,8,6,4,9
7,7,9,8,5,2,9
8,6,4,5,4,5,8
9,10,6,9,5,4,10
10,10,10,9,10,4,10
11,6,7,10,7,5,10
12,10,10,4,6,4,10
13,10,9,9,7,5,10
14,10,10,10,5,5,10
15,10,9,9,10,4,8
16,10,9,8,4,5,8
17,7,10,9,5,3,5
18,7,9,8,5,4,10
19,8,9,8,4,5,8
20,6,8,8,4,3,6
