,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,CATERPILLAR,PHY,Peoria,IL,O,"('Peoria', 'IL')",40.6936488,-89.58898640000001,145.7867194928936,144.1863525045756
1,NSA,PHY,Fort Meade,MD,O,"('Fort Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
2,RAYTHEON,PHY,Baltimore,MD,O,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
3,TEXAS INSTRUMENTS,PHY,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
