,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
45,GROUPON,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
46,ENOVA,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
47,GENECA,SE,Oakbrook Terrace,IL,A,"('Oakbrook Terrace', 'IL')",41.8500302,-87.96450770000001,166.99149864111368,101.25901789696768
48,ROCKWELL COLLINS,SE,Cedar Rapids,MI,A,"('Cedar Rapids', 'MI')",43.05508589999999,-85.6095757,262.51901588057143,70.67049523370312
49,EPIC,SE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
50,EPIC SYSTEMS,SE,Madison,WI,A,"('Madison', 'WI')",43.07305170000001,-89.4012302,270.3510084752115,112.73702746980922
51,ROCKWELL COLLINS,SE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
52,XBY2,SE,Farmington Hills,MI,R,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
53,XBY2,SE,Farmington Hills,MI,O,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
54,,SE,Farmington Hills,MI,R,"('Farmington Hills', 'MI')",42.4989936,-83.3677168,293.40716895455995,46.549778454273365
55,DELPHI ELECTRONICS AND SAFETY,SE,Auburn Hills,MI,A,"('Auburn Hills', 'MI')",42.6875323,-83.23410279999999,307.3639628238149,47.42123869470026
56,PROGRESSIVE,SE,Cleveland,OH,R,"('Cleveland', 'OH')",41.499495399999994,-81.6954088,327.0596852178068,27.043343234073877
57,PROGRESSIVE INSURANVE,SE,Cleveland,OH,O,"('Cleveland', 'OH')",41.499495399999994,-81.6954088,327.0596852178068,27.043343234073877
58,BOOZ ALLEN HAMILTON,SE,Annapolis Junction,MD,A,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,563.2059308498582,0.8997921351454797
59,BOOZ ALLEN HAMILTON,SE,Annapolis Junction,MD,A,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,563.2059308498582,0.8997921351454797
60,BLACKBAUD,SE,Charleston,SC,A,"('Charleston', 'SC')",32.776565600000005,-79.93092159999998,619.6579038674928,-46.03570402624013
61,NAVSEA,SE,Virginia Beach,VA,A,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
62,RAYTHEON,SE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
63,IBM,SE,Westford,MA,A,"('Westford', 'MA')",42.5792583,-71.4378411,853.6360015450563,19.641209605685045
64,AVALON,SE,Austin,TX,A,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
65,VESON NAUTICAL,SE,Boston,MA,A,"('Boston', 'MA')",42.358430799999994,-71.05977320000001,870.4429571828488,18.44111859606201
66,PROGRESSIVE CASUALTY INSURANCE,SE,Colorado Springs,CO,O,"('Colorado Springs', 'CO')",38.8338816,-104.82136340000001,936.0835880942627,177.15751595802254
67,N ASK,SE,Denver,CO,A,"('Denver', 'CO')",39.737567,-104.9847179,937.7880425834177,173.268946947117
68,SWRI,SE,San Antonio,TX,R,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
69,AMADEUS CONSULTING,SE,Boulder,CO,A,"('Boulder', 'CO')",40.0149856,-105.2705456,951.5379355881357,172.03313519194225
70,MICROSOFT,SE,Redmond,WA,R,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
71,MICROSOFT,SE,Redmond,WA,R,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
72,MICROSOFT,SE,Redmond,WA,O,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
73,MICROSOFT,SE,Redmond,WA,A,"('Redmond', 'WA')",47.6739881,-122.12151200000001,1812.4417227365122,150.30965601046032
74,AMAZON,SE,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.33207079999998,1821.7833206480764,150.49037635071727
75,MICROSOFT,SE,Mountain View,CA,O,"('Mountain View', 'CA')",37.3860517,-122.08385109999999,1873.6813447692584,173.25328745064473
76,CYAN OPTICS,SE,Petaluma,CA,A,"('Petaluma', 'CA')",38.232417,-122.6366524,1888.2038734614664,171.22382357427455
77,CYAN OPTICS,SE,Petaluma,CA,A,"('Petaluma', 'CA')",38.232417,-122.6366524,1888.2038734614664,171.22382357427455
