,Company,Major,City,State,Accept,CityState,lats,lons,County
54,ELI LILLY,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
55,ELI LILLY,ME,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
56,ENOVA,SE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
57,EPIC SYSTEMS,SE,Madison,WI,A,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
58,EXACTECH,BE,Gainesville,FL,A,"('Gainesville', 'FL')",29.6516344,-82.32482619999999,Alachua
59,EXXON MOBIL,CHE,Baytown,TX,A,"('Baytown', 'TX')",29.7355047,-94.97742740000001,Harris
60,EXXON MOBIL,CHE,Baton Rouge,LA,A,"('Baton Rouge', 'LA')",30.4582829,-91.1403196,East Baton Rouge
61,EXXON MOBIL,ME,Houston,TX,A,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
62,FARAH & SONS,CE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
63,FEXWARE INNOVATIO0N,EE,Fishers,IN,A,"('Fishers', 'IN')",39.9567548,-86.01335,Hamilton
64,FORD,ME,Dearborn,MI,A,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
65,FORD,EE,Dearborn,MI,A,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
66,FREESCALE SEMI CONDUCTOR,EE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
67,FRITO LAY,CE,Bakersfield,CA,A,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
68,FRITO LAY,CHE,Frankfort,IN,A,"('Frankfort', 'IN')",40.2794809,-86.5108355,Clinton
69,GAMMA TECHNOLOGIES,ME,Westmont,IL,A,"('Westmont', 'IL')",41.7958639,-87.9756175,Dupage
70,GARMIN,EE,Olathe,KS,A,"('Olathe', 'KS')",38.8813958,-94.81912849999999,Johnson
