,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
44,GENERAL CABLE,EE,Highland Heights,KY,A,"('Highland Heights', 'KY')",39.033116899999996,-84.45188540000001,156.97870765624398,-10.418547291632331
45,BAE SYSTEMS,EE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
46,RAYTHEON,EE,Ft. Wayne,IN,R,"('Ft. Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
47,BAE SYSTEMS,EE,Fort Wayne,IN,A,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
48,RAYTHEON,EE,Fort Wayne,IN,O,"('Fort Wayne', 'IN')",41.079273,-85.13935129999999,159.7506236976245,44.43591784367218
49,NAVISTAR,EE,Lyle,IL,A,"('Lyle', 'IL')",41.801140999999994,-88.0747875,164.9555500110371,103.42805363784613
50,BURNS & MCDONNELL,EE,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
51,BSA LIFESTRUCTURES,EE,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.62979820000001,166.3385079669339,95.30428056861427
52,NASIC,EE,Dayton,OH,R,"('Dayton', 'OH')",39.758947799999994,-84.1916069,168.06951800659374,7.5834859801070325
53,AEROSPACE SYSTEMS CENTER,EE,Dayton,OH,R,"('Dayton', 'OH')",39.758947799999994,-84.1916069,168.06951800659374,7.5834859801070325
54,WYNRIGHT,EE,Elk Grove Vlg,IL,A,"('Elk Grove Vlg', 'IL')",42.003917799999996,-87.97034609999999,177.46801832225756,100.65948113414848
55,ROCKWELL COLLINS,EE,Cedar Rapids,MI,R,"('Cedar Rapids', 'MI')",43.05508589999999,-85.6095757,262.51901588057143,70.67049523370312
56,ROCKWELL COLLINS ,EE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
57,ROCKWELL COLLINS,EE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
58,ROCKWELL COLLINS,EE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
59,ROCKWELL COLLINS,EE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
60,ROCKWELL COLLINS,EE,Cedar Rapids,IA,O,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
61,ROCKWELL COLLINS,EE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
62,ROCKWELL COLLINS,EE,Cedar Rapids,IA,R,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
63,ROCKWELL COLLINS,EE,Cedar Rapids,IA,A,"('Cedar Rapids', 'IA')",41.9778795,-91.66562320000001,284.8963883724818,141.3494246065576
64,FORD MOTOR,EE,Dearborn,MI,A,"('Dearborn', 'MI')",42.3222599,-83.17631449999998,292.394237847523,43.496559333177004
65,FORD MOTOR,EE,Dearborn,MI,A,"('Dearborn', 'MI')",42.3222599,-83.17631449999998,292.394237847523,43.496559333177004
66,FORD,EE,Dearborn,MI,R,"('Dearborn', 'MI')",42.3222599,-83.17631449999998,292.394237847523,43.496559333177004
67,CHRYSLER,EE,Auburn Hills,MI,R,"('Auburn Hills', 'MI')",42.6875323,-83.23410279999999,307.3639628238149,47.42123869470026
68,NOVELIS,EE,Fremont,WV,R,"('Fremont', 'WV')",40.0216713,-80.7003072,353.8970546026778,8.181662284832171
69,HALLIBURTON,EE,Cannonsbrug,PA,A,"('Cannonsbrug', 'PA')",40.262570200000006,-80.18727969999998,382.2996739475212,10.406090937335092
70,TEXAS INSTRUMENTS,EE,Kansas City,MO,R,"('Kansas City', 'MO')",39.0997265,-94.5785667,388.11410935352234,-178.42514246610747
71,HALLIBURTON,EE,Carmichaels,PA,R,"('Carmichaels', 'PA')",39.89674249999999,-79.97449920000001,391.83042695398626,6.5570142932822035
72,BETTIS LABS,EE,Pittsburgh,PA,A,"('Pittsburgh', 'PA')",40.44062479999999,-79.9958864,393.713888133106,12.0420415021123
73,GARMIN INTERNATIONAL,EE,Olathe,KS,R,"('Olathe', 'KS')",38.8813958,-94.8191285,402.8161851265789,-176.4895501932566
74,GARMIN INTERNATIONAL,EE,Olathe,KS,A,"('Olathe', 'KS')",38.8813958,-94.8191285,402.8161851265789,-176.4895501932566
75,NOVA ENGINEERING,EE,Kennesaw,GA,R,"('Kennesaw', 'GA')",34.023433700000005,-84.6154897,405.55157519336785,-67.43717301079253
76,BMW,EE,Spartanburg,SC,A,"('Spartanburg', 'SC')",34.949567200000004,-81.93204820000001,431.0901739090222,-44.83441925104695
77,INGERSOLL RAND,EE,Davidson,NC,A,"('Davidson', 'NC')",35.4993031,-80.84868459999998,448.8698647407098,-35.726931725801116
78,GE ENERGY,EE,Charlotte,NC,A,"('Charlotte', 'NC')",35.2270869,-80.8431267,461.33166330920494,-37.503101304485895
79,PROCTER & GAMBLE,EE,Greensboro,NC,O,"('Greensboro', 'NC')",36.072635399999996,-79.79197540000001,473.72062961865515,-27.40946194568315
80,BOSTON SCIENTIFIC,EE,St. Paul,MN,A,"('St. Paul', 'MN')",44.953702899999996,-93.0899578,478.8940798536336,126.02205107045471
81,MICRON,EE,Minneapolis,MN,O,"('Minneapolis', 'MN')",44.983334,-93.26667,486.03563388875017,126.64876217010595
82,"GOODWYN, MILLS & CAEWOOD INC",EE,Montgomery,AL,O,"('Montgomery', 'AL')",32.366805199999995,-86.2999689,494.514356442828,-82.99916062399255
83,HONEYWELL,EE,Coon Rapids,MN,A,"('Coon Rapids', 'MN')",45.1732394,-93.3030063,497.18951338985306,125.8168728438402
84,MC DEAN,EE,Dulles,VA,R,"('Dulles', 'VA')",38.9516235,-77.44808139999998,529.6930701700776,-0.8078138749637023
85,MC DEAN,EE,Sterling,VA,R,"('Sterling', 'VA')",39.006699299999994,-77.4291298,530.2486903971582,-0.3852105052157596
86,N ASK,EE,Farifax,VA,A,"('Farifax', 'VA')",38.84622359999999,-77.30637329999998,538.1869073054302,-1.4783966634158032
87,HAZEN & SAWYER,EE,Raleigh,NC,O,"('Raleigh', 'NC')",35.7795897,-78.6381787,539.3231259867439,-25.5493616294868
88,HAZEN & SAWYER,EE,Raleigh,NC,A,"('Raleigh', 'NC')",35.7795897,-78.6381787,539.3231259867439,-25.5493616294868
89,BOOZ ALLEN HAMILTON,EE,Annapolis Junction,MD,R,"('Annapolis Junction', 'MD')",39.130937,-76.7933133,563.2059308498582,0.8997921351454797
90,NSA,EE,Ft. Meade,MD,R,"('Ft. Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
91,NSA,EE,Ft. Meade,MD,A,"('Ft. Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
92,NASIC,EE,Ft. Meade,MD,A,"('Ft. Meade', 'MD')",39.1137602,-76.7267773,566.8725022580453,0.8166972873634741
93,SDEPARTMENT OF DEFENSE,EE,Baltimore,MD,A,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
94,NORTHROP GRUMMAN,EE,Baltimore,MD,R,"('Baltimore', 'MD')",39.2903848,-76.6121893,571.8488458108715,2.1002958926881767
95,SI,EE,Valley Forge,PA,R,"('Valley Forge', 'PA')",40.0862408,-75.45153020000001,631.266885729498,7.595517545929287
96,PROCTOR & GAMBLE,EE,Alexandria,LA,A,"('Alexandria', 'LA')",31.3112936,-92.4451371,632.9600689251182,-118.5595797695514
97,LUTRON,EE,Coopersburg,PA,A,"('Coopersburg', 'PA')",40.5114885,-75.390458,635.1351838760157,10.256949707597693
98,ARCELOR MITTAL,EE,Conshohoken,PA,A,"('Conshohoken', 'PA')",40.0792766,-75.3015714,639.1901361775532,7.55309977049114
99,NAVSEA,EE,Virginia Beach,VA,R,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
100,CRANE,EE,Virginia Beach,VA,R,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
101,NAVSEA,EE,Virginia Beach,VA,A,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
102,NAVSEA,EE,Virginia Beach,VA,O,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
103,NAVSEA,EE,Virginia Beach,VA,R,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
104,ON SEMICONDUCTOR,EE,East Greenwich,NJ,R,"('East Greenwich', 'NJ')",39.797599299999995,-75.2362381,643.001981283254,5.8130681608596175
105,TEXAS INSTRUMENTS,EE,Plano,TX,A,"('Plano', 'TX')",33.0198431,-96.6988856,685.6659367028489,-142.32322199943994
106,TEXAS INSTRUMENTS,EE,Plano,TX,A,"('Plano', 'TX')",33.0198431,-96.6988856,685.6659367028489,-142.32322199943994
107,LGS,EE,Florham Park,NJ,R,"('Florham Park', 'NJ')",40.787878000000006,-74.38820720000001,688.5556511776117,11.68029884695096
108,LGS INNOVATIONS,EE,Florham Park,NJ,A,"('Florham Park', 'NJ')",40.787878000000006,-74.38820720000001,688.5556511776117,11.68029884695096
109,TERADYNE,EE,Richardson,TX,O,"('Richardson', 'TX')",32.9481789,-96.7297205,690.3610651531637,-142.12458535717883
110,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
111,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
112,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
113,TEXAS INSTRUMENTS,EE,Dallas,TX,R,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
114,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
115,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
116,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
117,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
118,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
119,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
120,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
121,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
122,TEXAS INSTRUMENTS,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
123,TERADYNE,EE,Dallas,TX,O,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
124,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
125,TEXAS INSTRUMENTS,EE,Dallas,TX,A,"('Dallas', 'TX')",32.780139899999995,-96.8004511,701.3424867814697,-141.6647294555222
126,ROBERT DERECTOR ASSOCIATES,EE,New York City,NY,O,"('New York City', 'NY')",40.7143528,-74.00597309999998,708.2629162439138,11.177493034745519
127,EXXON,EE,Beaumont,TX,A,"('Beaumont', 'TX')",30.080174,-94.12655620000001,754.2765372149469,-122.70666684878478
128,MARATHON PETROLEUM,EE,Houston,TX,O,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
129,CANRIG DRILLING COMPANY,EE,Houston,TX,A,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
130,DYNEGY,EE,Houston,TX,R,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
131,EXXON MOBIL,EE,Houston,TX,R,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
132,TEXAS INSTRUMENTS,EE,Houston,TX,R,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
133,TEXAS INSTRUMENTS,EE,Houston,TX,R,"('Houston', 'TX')",29.760192699999998,-95.3693896,811.019937567938,-126.60953656459968
134,ON SEMI,EE,East Greenwich,RI,R,"('East Greenwich', 'RI')",41.6455556,-71.47749999999998,843.6878575327594,15.304204064444423
135,ZUKEN,EE,Westford,MA,O,"('Westford', 'MA')",42.5792583,-71.4378411,853.6360015450563,19.641209605685045
136,ZUKEN,EE,Westford,MA,O,"('Westford', 'MA')",42.5792583,-71.4378411,853.6360015450563,19.641209605685045
137,NATIONAL INSTRUMENTS,EE,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
138,NATIONAL INSTRUMENTS,EE,Austin,TX,O,"('Austin', 'TX')",30.267153000000004,-97.7430608,866.276571032974,-135.93941267652892
139,MIT LINCOLN LABS,EE,Boston,MA,A,"('Boston', 'MA')",42.358430799999994,-71.05977320000001,870.4429571828488,18.44111859606201
140,MAXIM INC,EE,Colorado Srings,CO,O,"('Colorado Srings', 'CO')",38.8338816,-104.82136340000001,936.0835880942627,177.15751595802254
141,SCHLUMBERGER,EE,Denver,CO,A,"('Denver', 'CO')",39.737567,-104.9847179,937.7880425834177,173.268946947117
142,SOUTHWEST RESEARCH INSTITUTE,EE,San Antonio,TX,R,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
143,SWRI,EE,San Antonio,TX,R,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
144,SOUTHWEST RESEARCH,EE,"San Antonio,",TX,O,"('San Antonio,', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
145,SANDIA NATIONAL LABS,EE,Albuquerque,NM,O,"('Albuquerque', 'NM')",35.110703,-106.609991,1098.7022037892932,-170.12567303132514
146,ADM,EE,Lincoln,NB,A,"('Lincoln', 'NB')",45.905402,-66.579492,1138.5430027033005,29.697515096882075
147,RINCON,EE,Tucson,AZ,O,"('Tucson', 'AZ')",32.2217429,-110.926479,1407.3513468467036,-166.48889746047652
148,RINCON RESEARCH,EE,Tucson,AZ,A,"('Tucson', 'AZ')",32.2217429,-110.926479,1407.3513468467036,-166.48889746047652
149,RINCON RESEARCH CORPORATION,EE,Tucson,AZ,R,"('Tucson', 'AZ')",32.2217429,-110.926479,1407.3513468467036,-166.48889746047652
150,RINCON,EE,Tucson,AZ,A,"('Tucson', 'AZ')",32.2217429,-110.926479,1407.3513468467036,-166.48889746047652
151,TEXAS INSTRUMENTS,EE,Phoenix,AZ,O,"('Phoenix', 'AZ')",33.4483771,-112.07403729999999,1430.5111996235528,-170.83089211884055
152,MICROCHIP,EE,Phoenix,AZ,A,"('Phoenix', 'AZ')",33.4483771,-112.07403729999999,1430.5111996235528,-170.83089211884055
153,TEXAS INSTRUMENTS,EE,Phoenix,AZ,O,"('Phoenix', 'AZ')",33.4483771,-112.07403729999999,1430.5111996235528,-170.83089211884055
154,MICROCHIP,EE,Phoenix,AZ,A,"('Phoenix', 'AZ')",33.4483771,-112.07403729999999,1430.5111996235528,-170.83089211884055
155,QUALCOMM,EE,San Diego,CA,O,"('San Diego', 'CA')",32.7153292,-117.1572551,1719.6113494266206,-173.60157680698262
156,INTERNATIONAL PAPER,EE,Portland,OR,R,"('Portland', 'OR')",45.5234515,-122.6762071,1831.307296752281,155.18686729575094
157,INTEL,EE,Portland,OR,O,"('Portland', 'OR')",45.5234515,-122.6762071,1831.307296752281,155.18686729575094
158,INTERNATIONAL PAPER,EE,Springfield,OR,A,"('Springfield', 'OR')",44.0462362,-123.02202890000001,1850.2258767048395,158.4684750069579
