,Company,Major,City,State,Accept,StateCity,lats,lons,DistFromRoseHulman,BearingFromRoseHulman
0,STATE FARM,MA,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999998,48.1446288161481,-26.55821332385736
1,ALLSTATE INSURANCE,MA,Northbrook,IL,A,"('Northbrook', 'IL')",42.127526700000004,-87.82895479999998,184.66603279299324,97.94360441158695
2,ALLSTATE INSURANCE,MA,Northbrook,IL,A,"('Northbrook', 'IL')",42.127526700000004,-87.82895479999998,184.66603279299324,97.94360441158695
3,GRANGE INSURANCE,MA,Columbus,OH,A,"('Columbus', 'OH')",39.9611755,-82.99879419999998,232.44136574324082,9.600485148675917
4,NAVSEA,MA,Virginia Beach,VA,A,"('Virginia Beach', 'VA')",36.8529263,-75.97798499999998,641.9452083302554,-12.831570934842947
5,SOUTHWEST RESEARCH INSTITUTE,MA,San Antonio,TX,A,"('San Antonio', 'TX')",29.4241219,-98.4936282,939.7787680678873,-135.77421594078064
6,IDAHO NATIONAL NUCLEAR LABS,MA,Idaho Falls,ID,A,"('Idaho Falls', 'ID')",43.49165139999999,-112.0339645,1302.3550471332364,159.69641686556994
