,City,State,Major,Salary,CityState,lats,lons,County
65,Bellingham,WA,CHE,62500,"('Bellingham', 'WA')",48.7595529,-122.4882249,Whatcom
66,Auburn Hills,MI,ME,57200,"('Auburn Hills', 'MI')",42.6875323,-83.2341028,Oakland
67,Trenton,MI,ME,63913,"('Trenton', 'MI')",42.1394858,-83.1782587,Wayne
68,Auburn Hills,MI,ME,63100,"('Auburn Hills', 'MI')",42.6875323,-83.2341028,Oakland
69,Columbus,OH,CE,44000,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
70,Louisville,KY,CHE,63000,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
71,Bloomington,IN,BE CS,54000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
72,Bloomington,IN,BE,56000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
73,Indianapolis,IN,EE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
74,Indianapolis,IN,CHE,64200,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
75,Indianapolis,IN,ME,63500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
76,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
77,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
78,Seymour,IN,ME,61000,"('Seymour', 'IN')",38.9592201,-85.8902547,Jackson
79,Seymour,IN,ME,61000,"('Seymour', 'IN')",38.9592201,-85.8902547,Jackson
80,Carmel,IN,CPE,48000,"('Carmel', 'IN')",39.978371,-86.1180435,Hamilton
81,Westfield,IN,CPE,53000,"('Westfield', 'IN')",40.0428151,-86.1274888,Hamilton
82,Decatur,IL,CHE,63000,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
83,Tyler,TX,ME,75000,"('Tyler', 'TX')",32.3512601,-95.30106239999999,Smith
84,Tyler,TX,CHE,80000,"('Tyler', 'TX')",32.3512601,-95.30106239999999,Smith
85,Kokomo,IN,ME,65100,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
86,Kokomo,IN,CPE,67500,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
87,Kokomo,IN,ME EE,66100,"('Kokomo', 'IN')",40.486427,-86.13360329999999,Howard
88,Auburn Hills,MI,SE,65100,"('Auburn Hills', 'MI')",42.6875323,-83.2341028,Oakland
89,Tucson,AZ,OE,63000,"('Tucson', 'AZ')",32.2217429,-110.926479,Pima
90,Chicago,IL,ME,72000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
91,Paris,IL,ME,45000,"('Paris', 'IL')",39.611146,-87.6961374,Edgar
92,Deer Park,TX,CHE,68904,"('Deer Park', 'TX')",29.7052284,-95.1238204,Harris
93,Freeport,TX,CHE,68904,"('Freeport', 'TX')",28.9541368,-95.35966169999999,Brazoria
94,Freeport,TX,CHE,67560,"('Freeport', 'TX')",28.9541368,-95.35966169999999,Brazoria
95,El Paso,TX,ME,66500,"('El Paso', 'TX')",31.7699559,-106.4968055,El Paso
96,Terre Haute,IN,CHE,75000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
97,Terre Haute,IN,CHE,74000,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
98,Michigan City,IN,BE,60000,"('Michigan City', 'IN')",41.70753939999999,-86.8950297,Laporte
