Lexington,KY,CPE,68000
Vernon Hills,IL,CE,47500
Robinson ,IL,CHE,83000
Canton,OH,CHE,83000
Robinson ,IL,CHE,83000
Houston ,TX,EE,78000
Colorado Srings,CO,EE,67000
Cincinnati,OH,CE,50500
,,EE,68000
Redmond,WA,SE,102000
Mountain View,CA ,SE,107000
Terre Haute,IN,CHEM,42000
Boston ,MA,OE,67000
Columbus,OH,CE,48500
Columbus,OH,CE,52000
Houston,TX,CHE,60000
Marshall Space Flight Center,AL,CS,45192
Austin,TX,CS,62000
Austin,TX,EE,61000
Austin,TX,ME,60000
Austin,TX,BE,60000
Austin,TX,CPE,60000
Austing,TX,EE,61000
Austin,TX,CPE,60000
Austin,TX,CPE,62000
Austin,TX,BE,60000
Fort Meade,MD,CS,71000
Crane,IN,ME,58500
Crane ,IN,ME,58500
Mooresville,IN,CE,50000
Cincinnati,OH,CPE,64000
Baltimore ,MD,CS,62000
Fort Meade,MD,PHy,56426
Crawforsville,IN,EE,60049
Troy ,MI,OE,65000
Fishers,IN,CS,68000
Indianapolis,IN,CHE,56500
Bloomington,IN,BE,50000
Goodlettsville,TN,CE,47840
St. Louis,MO,CHE,85200
Monticello,IN,ME,45000
Greensboro,NC,EE,70000
Colorado Springs,CO,SE,56000
Cleveland ,OH,SE,56000
Jupiter,FL,ME,68000
Indianapolis,IN,BE,45000
Marion,IN,ME,60000
San Diego,CA ,EE,85000
Tucson,AZ,ME,65800
Fort Wayne,IN,EE,69451
Columbia,MD,BE,74000
Baltimore ,MD,PHY,67584
Columbia,MD,CPE,67500
Tucson ,AZ,EE,67000
New York City,NY,EE,57000
Indianapolis,IN,BE,58000
Cedar Rapids,IA,EE,63000
Indianapolis,IN,ME,64000
Indianapolis,IN,ME,66000
Indianapolis,IN,ME,64600
Indianapolis,IN,ME,64500
Indianapolis,IN,ME,64600
St. Charles,IL,ME,56500
Anderson,IN,EE,60000
Owensboro ,KY,ME,62000
Albuquerque,NM,EE,72800
Prudhoe Bay,AK,CHE,60000
Broussard,LA,CHE,72000
Lafayette,LA,ME,60000
Bloomington,MN,CS,62000
Coldwater,MI,ME,42900
Ellicot City ,MD,CS,90000
Ellicott City ,MD,CS,90000
Indianapolis,IN,CS,60000
Carmel ,IN,SE,60000
Indianapolis,IN,CS,60000
Indianapolis,IN,CS,65000
Orlando,FL,CE,56900
Chicago,IL,CHE,70000
Bowling Green,KY,ME,63000
Indianapolis,IN,SE CS,60000
"San Antonio,",TX,EE,65000
"San Antonio,",TX,ME,62000
Plymouth,MN,ME,63000
Connersville,IN,CHE,60000
Lafayette,IN,CHE,66000
Layfayette,IN,CHE,66000
Layfayette,IN,CHE,66000
Richardson,TX,EE,64008
Dallas ,TX,EE,76000
Palo Alto ,CA ,ME,75000
Dallas,TX,CHE,67008
Dallas,TX,EE,67008
Dallas,TX,EE,67008
Dallas,TX,EE,67000
Dallas,TX,ME,60000
Dallas,TX,EE,67000
Dallas,TX,EE,67000
Dallas ,TX,EE,67000
Phoenix,AZ,EE,67000
Dallas ,TX,CHE,67000
Phoenix,AZ,CPE,67000
Dallas ,TX,EE,67000
Phoenix,AZ,EE,67000
Dallas ,TX,PHY,65800
Dallas ,TX,EE,67000
Princton ,IN,ME,63000
Bremen,IN,ME,55000
Des Plaines,IL,CHE,69000
Chicago,IL,CHE,71000
Des Plaines,IL,CHE/BE,69000
"Washington, D.C.",,BE,67000
Seymour,IN,EE,60000
Semour,IN,EE,60000
San Diego,CA ,CPE,68000
Louisville,KY,CE,54000
Louisville,KY,CE,54000
Lombard,IL,CE,55000
Indianapolis,IN,CE,45006
Indianapolis,IN,CE,53520
Chicago ,IL ,CS,70000
Clinton,IN,CE,59800
Walled Lake,MI,ME,60000
,,SE,60000
Farmington Hills,MI,CS,60000
Brownsburg,IN,ME,53000
Warsaw,IN,BE,58000
Westford ,MA,EE,59000
Westford,MA,EE,59000
